Серо-коричневый;0,9,25;64,58,58;0,9,9,75;403A3A
Ядовито-зеленый;161,51,51;64,130,109;51,0,16,49;40826D
Светло-бирюзовый;174,71,88;64,224,208;71,0,7,12;40E0D0
Черно-красный;350,48,25;65,34,39;0,48,40,75;412227
Серовато-пурпурно-синий;252,25,32;65,61,81;20,25,0,68;413D51
Винтовочный зеленый;80,29,28;65,72,51;10,0,29,72;414833
Космос;191,14,30;65,74,76;14,3,0,70;414A4C
Королевский синий;225,71,88;65,105,225;71,53,0,12;4169E1
Глубокий фиолетовый;252,64,54;66,49,137;52,64,0,46;423189
Умеренный пурпурно-синий;249,39,39;66,60,99;33,39,0,61;423C63
Оливково-зеленый;72,29,27;66,70,50;6,0,29,73;424632
Глубокий желто-зеленый;84,76,37;66,94,23;30,0,76,63;425E17
Блестящий синий;205,63,71;66,133,180;63,26,0,29;4285B4
Сланцево-серый;222,16,31;67,71,80;16,11,0,69;434750
Умеренный оливково-зеленый;70,64,29;67,75,27;11,0,64,71;434B1B
Железно-серый;192,13,30;67,75,77;13,3,0,70;434B4D
Кофейный;15,46,27;68,45,37;0,34,46,73;442D25
Арлекин;125,54,58;68,148,74;54,0,50,42;44944A
Темный черовато-пурпурный;340,35,27;69,45,53;0,35,23,73;452D35
Шоколадно-коричневый;10,33,27;69,50,46;0,28,33,73;45322E
Темный зеленовато-серый;48,14,27;69,67,59;0,3,14,73;45433B
Трилистник Крайола;161,67,81;69,206,162;67,0,21,19;45CEA2
Серовато-фиолетовый;283,24,29;70,57,75;7,24,0,71;46394B
Коричнево-серый;57,30,27;70,69,49;0,1,30,73;464531
Темный синевато-черный;30,3,27;70,69,68;0,1,3,73;464544
Серая спаржа;117,22,35;70,89,69;21,0,22,65;465945
Синяя сталь;207,61,71;70,130,180;61,28,0,29;4682B4
Очень глубокий пурпурно-красный;327,100,28;71,0,39;0,100,45,72;470027
Очень глубокий красновато-пурпурный;316,90,28;71,7,54;0,90,24,72;470736
Темно-пурпурный;317,41,28;71,42,63;0,41,11,72;472A3F
Желто-оливковый;43,35,28;71,64,46;0,10,35,72;47402E
Насыщенный пурпурно-синий;243,51,54;71,67,137;48,51,0,46;474389
Графитовый серый;222,12,32;71,74,81;12,9,0,68;474A51
Сине-серый;206,9,31;71,75,78;9,4,0,69;474B4E
Насыщенный желтовато-зеленый;104,64,52;71,132,48;46,0,64,48;478430
Блестящий зеленый;142,57,65;71,167,106;57,0,37,35;47A76A
Болгарский розовый;359,92,28;72,6,7;0,92,90,72;480607
Темный серовато-красный;0,42,28;72,42,42;0,42,42,72;482A2A
Темно-серо-коричневый;27,31,28;72,60,50;0,17,31,72;483C32
Темный аспидно-синий;248,56,55;72,61,139;48,56,0,45;483D8B
Сероватый оливково-зеленый;51,37,28;72,68,45;0,6,37,72;48442D
Умеренно-бирюзовый;178,66,82;72,209,204;66,0,2,18;48D1CC
Глубокий красновато-коричневый;356,100,29;73,0,5;0,100,93,71;490005
Темно-серый;25,16,29;73,66,61;0,10,16,71;49423D
